bin_index,radius_start_nm,radius_end_nm,radius_center_nm,aggregation_value_column,h3k27ac_rdf_local_norm_mean,h3k27ac_rdf_local_norm_std,h3k27ac_rdf_local_norm_sem,h3k27ac_rdf_mean,h3k27ac_rdf_std,h3k27ac_rdf_sem,n_hubs,n_nuclei,sem_n,total_pixel_count,h3k27ac_rdf_bin_intensity_mean,spen_rdf_local_norm_mean,spen_rdf_local_norm_std,spen_rdf_local_norm_sem,spen_rdf_mean,spen_rdf_std,spen_rdf_sem,spen_rdf_bin_intensity_mean
0,0.0,100.0,50.0,h3k27ac_rdf_local_norm,1.1315778842982436,0.4521606014173789,0.021036415009157376,1.1315778842982436,0.4521606014173789,0.021036415009157376,462,8,462,4223,1795291.7241731463,1.9580255182123991,0.5083166432874814,0.023649030523087665,1.9580255182123991,0.5083166432874814,0.023649030523087665,12604.027699991573
1,50.0,150.0,100.0,h3k27ac_rdf_local_norm,1.1301590701822437,0.447773678995115,0.020832316906849398,1.1301590701822437,0.447773678995115,0.020832316906849398,462,8,462,8651,1792765.5491780615,1.7602404240579046,0.39033356957797566,0.018159961164038962,1.7602404240579046,0.39033356957797566,0.018159961164038962,11407.763715747864
2,100.0,200.0,150.0,h3k27ac_rdf_local_norm,1.1282783670937422,0.44168191891489883,0.020548902578440553,1.1282783670937422,0.44168191891489883,0.020548902578440553,462,8,462,12715,1789985.670240294,1.5350568392864945,0.29119650111959755,0.013547687320753309,1.5350568392864945,0.29119650111959755,0.013547687320753309,10032.116271028908
3,150.0,250.0,200.0,h3k27ac_rdf_local_norm,1.1249778040066138,0.42900741027291606,0.019959231070144356,1.1249778040066138,0.42900741027291606,0.019959231070144356,462,8,462,17012,1783218.2092206143,1.3560604207354683,0.2410216081855864,0.01121334003907675,1.3560604207354683,0.2410216081855864,0.01121334003907675,8927.010883160334
4,200.0,300.0,250.0,h3k27ac_rdf_local_norm,1.1211268658292288,0.4163105501977053,0.01936851967906324,1.1211268658292288,0.4163105501977053,0.01936851967906324,462,8,462,21265,1774625.9264121293,1.2450880739384658,0.21885320038581085,0.010181972367708476,1.2450880739384658,0.21885320038581085,0.010181972367708476,8234.920315914385
5,250.0,350.0,300.0,h3k27ac_rdf_local_norm,1.1158729955838345,0.40183906469122016,0.018695245240823503,1.1158729955838345,0.40183906469122016,0.018695245240823503,462,8,462,24581,1763364.2865526858,1.1896501778026274,0.2095958047672941,0.009751279345086386,1.1896501778026274,0.2095958047672941,0.009751279345086386,7884.011467144367
6,300.0,400.0,350.0,h3k27ac_rdf_local_norm,1.1083133473647622,0.38297799474621474,0.017817748852071068,1.1083133473647622,0.38297799474621474,0.017817748852071068,462,8,462,28626,1748419.0417930658,1.1680934217449028,0.2062272114170371,0.009594558198903013,1.1680934217449028,0.2062272114170371,0.009594558198903013,7746.165020612359
7,350.0,450.0,400.0,h3k27ac_rdf_local_norm,1.1019885514636671,0.3640808571102986,0.016938574442473733,1.1019885514636671,0.3640808571102986,0.016938574442473733,462,8,462,33488,1735654.8663950008,1.1645101943203484,0.20472864208582597,0.009524838443859046,1.1645101943203484,0.20472864208582597,0.009524838443859046,7726.909941282708
8,400.0,500.0,450.0,h3k27ac_rdf_local_norm,1.0954379687135927,0.3414251972086358,0.015884537751740983,1.0954379687135927,0.3414251972086358,0.015884537751740983,462,8,462,37824,1722136.5998525976,1.1655729959173928,0.2043957804517402,0.009509352319120834,1.1655729959173928,0.2043957804517402,0.009509352319120834,7739.876176599667
9,450.0,550.0,500.0,h3k27ac_rdf_local_norm,1.0886860227105213,0.320704783283933,0.014920536852248156,1.0886860227105213,0.320704783283933,0.014920536852248156,462,8,462,41837,1708543.8506646089,1.1625671090037775,0.20171427861730198,0.00938459756326587,1.1625671090037775,0.20171427861730198,0.00938459756326587,7726.145961067538
