fov,hub_id,hub_uid,nucleus_id,hub_y,hub_x,spotiflow_probability,spotiflow_intensity,spen_center_intensity,nucleus_spen_mean,nucleus_spen_median,nucleus_spen_std,nucleus_spen_q90,nucleus_spen_max,nucleus_h3k27ac_mean,nucleus_h3k27ac_median,nucleus_h3k27ac_std,nucleus_h3k27ac_q90,nucleus_h3k27ac_max,nucleus_area_px,nucleus_area_um2,spen_local_r100nm_mean,spen_local_r100nm_median,spen_local_r100nm_std,spen_local_r100nm_q90,spen_local_r100nm_max,spen_local_area_px,local_h3k27ac_mean,local_spen_mean,local_reference_pixel_count,hub_filter_metric,hub_filter_threshold_source,hub_filter_std_multiplier,hub_filter_local_threshold,hub_filter_hard_threshold_enabled,hub_filter_hard_threshold,hub_filter_hard_threshold_source,hub_filter_hard_threshold_metric,hub_filter_hard_threshold_statistic,hub_filter_hard_threshold_quantile,hub_filter_hard_threshold_n_control_values,hub_filter_threshold,hub_filter_final_threshold,keep_hub
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00001,3,321.4321,189.2426,0.7274,8292.471,8399.3271484375,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,8006.428114149306,8063.8955078125,277.9689932010112,8353.4458984375,8399.3271484375,9,1193819.142545348,7294.049404795761,4052,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,2,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00002,3,315.5946,163.8481,0.7065,9382.071,9397.1142578125,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,8749.843858506945,8697.2587890625,511.5510410255458,9422.0119140625,9521.6025390625,9,1156118.598326108,7415.694902423719,4152,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,3,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00003,3,316.2785,154.1801,0.6907,8162.149,8246.4921875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,7849.820556640625,7848.471923828125,293.77928002160286,8178.923046875,8246.4921875,8,1168861.0657001487,7316.550560725247,3701,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,4,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00004,3,313.8774,205.9958,0.8798,10615.54,10641.548828125,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,9665.924262152777,9569.0771484375,598.5661253445845,10492.000390625,10641.548828125,9,1257885.078561231,7453.3373222544715,4728,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,5,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00005,3,311.0,170.0,0.4572,8282.205,8282.205078125,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,8088.10205078125,8115.2490234375,140.52190107689756,8251.233203125,8282.205078125,9,1160960.1444392328,7500.496176962408,4797,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,6,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00006,3,309.9925,185.732,0.5256,8497.122,8485.04296875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,8184.958767361111,8206.8203125,275.59318489988397,8494.7234375,8533.4453125,9,1242066.954480429,7529.37842294642,5199,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,7,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00007,3,307.5498,226.5324,0.5486,7633.8726,7651.32763671875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,7435.8328857421875,7417.8955078125,168.71541683619932,7649.470556640625,7689.67919921875,12,1214036.4393492655,7237.294392878388,4833,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,8,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00008,3,308.0471,211.9221,0.8473,10912.189,10974.4521484375,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,10164.404622395834,10149.8330078125,413.8064098034511,10615.4615234375,10974.4521484375,9,1235230.3302457286,7377.491044130727,5209,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,9,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00009,3,305.8663,136.0653,0.765,6901.8887,6943.06591796875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,6443.445940290178,6601.69970703125,378.1500744659473,6835.97353515625,6943.06591796875,7,1239247.084090909,7433.358584802801,3520,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,10,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00010,3,302.9854,178.0118,0.7837,12056.977,12074.6826171875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,11227.702365451389,11351.8759765625,420.01485583502256,11585.6560546875,12074.6826171875,9,1220216.0721605604,7762.425527806775,5800,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,11,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00011,3,303.444,151.1222,0.5909,9864.152,10049.150390625,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,9529.6259765625,9559.076171875,413.1322210460864,9998.880859375,10049.150390625,9,1222725.264114426,7641.114898773839,4634,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00012,3,301.9247,158.9675,0.9152,22620.291,22783.123046875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,19776.104600694445,20205.041015625,1737.0883027233215,21820.605859375,22783.123046875,9,1214658.956290889,7703.363655893349,5197,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,True
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,13,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00013,3,298.9775,241.8243,0.6405,9669.761,9701.2646484375,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,8973.552137586805,9111.5908203125,632.9972215070446,9577.7458984375,9701.2646484375,9,1212809.421379558,7147.571210827186,5046,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,14,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00014,3,299.032,212.9735,0.8735,16203.285,16256.9287109375,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,14532.087131076389,14390.2060546875,953.2206460733927,15691.3568359375,16256.9287109375,9,1213797.9167935946,7427.898394605541,6073,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,True
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,15,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00015,3,296.7267,207.7237,0.655,13417.222,13551.5771484375,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,12819.98828125,12770.73681640625,512.4644193277306,13427.519921875,13551.5771484375,8,1214182.5741913142,7569.3300026765155,6407,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,True
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,16,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00016,3,296.9051,177.229,0.8189,16100.038,16232.654296875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,14414.537109375,13889.2724609375,1285.1223873425238,16049.766015625,16232.654296875,9,1239519.9804387444,7909.17417422371,6379,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,True
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,17,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00017,3,294.8522,190.349,0.6154,15220.584,15182.7001953125,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,14886.660698784723,15018.3427734375,520.0773766945936,15411.53671875,15478.1640625,9,1248899.5148370292,7830.2209153991535,6742,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,True
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,18,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00018,3,294.0,149.0,0.4687,7764.424,7764.42431640625,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,7541.376410590277,7623.98193359375,203.7711013816421,7756.18291015625,7764.42431640625,9,1218916.246779943,7696.649957716329,5260,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,19,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00019,3,290.6834,132.6939,0.5732,12796.686,12738.248046875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,11963.859008789062,12149.423828125,989.293535774358,13004.0158203125,13233.5830078125,8,1214247.581472947,7640.876291718413,4177,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,20,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00020,3,288.8016,223.1676,0.495,9350.615,9440.240234375,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,9026.9892578125,9053.9521484375,260.79830701014566,9333.666015625,9440.240234375,9,1184170.421716418,7308.432904617537,6700,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,21,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00021,3,289.0,144.0,0.4402,6998.5015,6998.50146484375,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,6710.03271484375,6677.13330078125,244.07766070252995,6972.77412109375,6998.50146484375,9,1210313.989066392,7638.133230986689,5219,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,22,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00022,3,287.7595,257.035,0.8888,14592.123,14777.220703125,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,12965.1943359375,13141.2060546875,1229.2239773226577,14271.024609375,14777.220703125,9,1219446.1208797088,7019.189706369803,5256,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,True
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,23,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00023,3,286.6046,237.6573,0.4944,9171.977,9112.076171875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,8919.00478515625,8976.6240234375,286.8296602165813,9266.1595703125,9267.0771484375,10,1192977.599932997,7229.385209796971,6343,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,24,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00024,3,285.0417,199.3994,0.7517,12076.04,12082.57421875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,11655.323567708334,11455.248046875,424.3768382513764,12143.0763671875,12152.7216796875,9,1202805.939116023,7886.906918779345,7561,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,25,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00025,3,285.4529,131.4484,0.5811,13125.862,13245.7978515625,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,12192.561360677084,12141.53759765625,767.8566178505937,13200.07685546875,13245.7978515625,12,1200709.2336175554,7623.940634546958,4332,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,True
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,26,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00026,3,283.8864,167.365,0.5489,12675.049,12714.0087890625,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,12402.013671875,12425.4208984375,281.4407694616776,12725.8220703125,12773.0751953125,9,1206804.7805078125,7940.758794555664,7200,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,27,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00027,3,283.3278,228.6728,0.7323,13645.334,13813.767578125,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,13123.9666015625,13065.46044921875,446.80645212933734,13664.775390625,13813.767578125,10,1184370.8440591842,7294.569880125343,6974,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,True
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,28,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00028,3,282.2661,216.4223,0.7665,17815.502,17731.017578125,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,16818.619032118055,16402.703125,960.7583093088307,18037.34609375,18100.94140625,9,1176945.390030582,7538.855155033071,7439,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,True
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,29,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00029,3,281.4874,143.0044,0.4725,7918.7583,7916.38623046875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,7755.5750732421875,7757.889892578125,146.54836859497624,7918.69306640625,7924.07568359375,8,1200865.8392237104,7618.17059722504,5544,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,30,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00030,3,279.0,119.0,0.4582,6942.8047,6942.8046875,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,6705.118094308035,6681.45849609375,172.3071461447605,6955.0603515625,6973.44384765625,7,1181152.0008853716,7492.462627850919,3459,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,31,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00031,3,275.4928,236.3777,0.54,11845.214,12100.53515625,8231.223836975945,7806.400390625,2629.8215554718063,11502.234277343754,26043.140625,999929.4885875753,951977.09375,437109.8656818336,1479614.6875000002,5189873.0,25912,88.67734200000001,11445.183186848959,11547.09521484375,422.2351765402079,11870.1244140625,12100.53515625,12,1165562.1667609352,7331.867072677246,7293,spotiflow_intensity,nucleus_spen_median_plus_std,2.0,13066.043501568613,False,,negative_control_result_dirs,spotiflow_intensity,quantile,0.95,0,13066.043501568613,13066.043501568613,False
