condition,results_dir,pcf_type,r_center_nm,mean_G,sem_G,n_nuclei,color
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,50.0,0.893572082044435,0.0440813329264311,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,70.0,0.8948966567055229,0.043858502023177,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,90.0,0.895801599442248,0.0435447595761418,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,110.0,0.895557903739561,0.0429550848834944,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,130.0,0.8941325146409599,0.0421765665872978,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,150.0,0.8914434367133609,0.041270859896814,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,170.0,0.8881363821341549,0.0402134651052817,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,190.0,0.8845046060803556,0.038997704391425,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,210.0,0.8811379021739439,0.0377475409665698,8,#0072B2
undifferentiated,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/undiff,cross,230.0,0.8784292972909932,0.0365271908318785,8,#0072B2
